UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
silly billy,@badboybmar,2022-01-01T22:54:12.000Z,"silly billy
@badboybmar
·
2022年1月2日","I saw 
@muzzeltov
 ordering a pair of MCE Creations, so I ordered a pair of MCE Creations",,2,1,25,['https://pbs.twimg.com/profile_images/1628806426893189120/_EnbB5vj_normal.jpg'],https://twitter.com/badboybmar/status/1477412872477192198
Dale Smith,@journo_dale,2022-01-01T23:53:46.000Z,"Dale Smith
@journo_dale
·
2022年1月2日","The federal mechanism is in place. It requires premiers to sign on, and thus far only PEI has.
I don’t see the federal NDP haranguing John Horgan to sign up.",,17,108,271,['https://pbs.twimg.com/profile_images/1179236471439548417/ZIXuW4bB_normal.jpg'],https://twitter.com/journo_dale/status/1477427861099356163
Marti,@MartiGCummings,2022-01-01T23:54:01.000Z,"Marti
@MartiGCummings
·
2022年1月2日","Congratulations 
@MarkLevineNYC
 - today is Mark’s first day as Manhattan Borough President. Over the last several years he has been a great friend & someone who I have sought guidance from many times navigating politics. Here we are on the steps of city hall! Best of luck Mark!",,2,,85,['https://pbs.twimg.com/media/FIDg3nuWUAETUxw?format=jpg&name=900x900'],https://twitter.com/MartiGCummings/status/1477427926840889349
bøşſї,@thisisbossi,2022-01-01T23:39:42.000Z,"bøşſї
@thisisbossi
·
2022年1月2日",Loving this surface mist on the Anacostia (with a bit of a localised fog occasionally popping up at where I assume the Navy Yard must maybe have an outlet of warm water),,1,2,16,"['https://pbs.twimg.com/media/FIDdkciWQAggZ5t?format=jpg&name=small', 'https://pbs.twimg.com/media/FIDdkuSWYAAQSo-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FIDdlO2XEAERFsF?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FIDdlnsXwAEFNbx?format=jpg&name=360x360']",https://twitter.com/thisisbossi/status/1477424321425555462
Billy Dinh,@billydeee_,2022-01-01T23:14:27.000Z,"Billy Dinh
@billydeee_
·
2022年1月2日","For anyone who’s caught the photography bug lately especially when it comes to street photography, I recommend you give 
@jackthestreet
’s new collection ‘Streets’ a quick look ",👀 👇,,3,15,"['https://pbs.twimg.com/profile_images/1630772756198625281/t6-F-dOk_normal.jpg', 'https://pbs.twimg.com/media/FIB1wNyUYAE7DMA?format=jpg&name=small']",https://twitter.com/billydeee_/status/1477417970364256259
SCVNO,@Scvno_,2022-01-01T23:50:01.000Z,"SCVNO
@Scvno_
·
2022年1月2日","Such a awesome night with the Slander fam last-night. The boys killed it as usual  I couldn’t ask for a better New Year’s Eve with the people that matter the most 
@SlanderOfficial",🤧 🙌 ❤,,1,24,['https://pbs.twimg.com/ext_tw_video_thumb/1477426444389302280/pu/img/ytPJqv0fFl6VrprO.jpg'],https://twitter.com/Scvno_/status/1477426918081413121
Moises Mendez II,@MoisesFenty,2022-01-01T23:04:41.000Z,"Moises Mendez II
@MoisesFenty
·
2022年1月2日",I don’t think anyone understands how much this is me. https://twitter.com/JutsuNoRoss/status/1476914133664686082…,,,,20,[],https://twitter.com/MoisesFenty/status/1477415511835222019
CHEVS チャーリー・エバンス,@charlievanspro,2022-01-01T22:29:27.000Z,"CHEVS チャーリー・エバンス
@charlievanspro
·
2022年1月2日","i seriously cannot thank 
@jerseycw
 & 
@gcwrestling_
 enough. they made this whole thing possible and i’m forever grateful. i cannot wait to come back. thank you for becoming my american home.",,9,23,492,[],https://twitter.com/charlievanspro/status/1477406643033890817
Shannon Bray,@ShannonBrayNC,2022-01-01T23:08:36.000Z,"Shannon Bray
@ShannonBrayNC
·
2022年1月2日","I hodl #shib because I believe in 
@ShytoshiKusama
. Even though I work for another token, my largest holding is with $shib. 

Just because I tweet about other tokens, it does not take away my focus on Shib and the #ShibaArmy.",,204,507,"2,408",['https://pbs.twimg.com/media/FIDWeO7XwAAiiBP?format=jpg&name=small'],https://twitter.com/ShannonBrayNC/status/1477416496091570176
tré easton,@treeaston,2022-01-01T21:59:05.000Z,"tré easton
@treeaston
·
2022年1月2日","The Electoral College guarantees that every presidential candidate will do nothing BUT flyover Oklahoma. 

I see we didn’t leave the stupid in 2021 like I asked. SMH.",,1,2,31,['https://pbs.twimg.com/profile_images/1243937154293694464/-dy9-qEr_normal.jpg'],https://twitter.com/treeaston/status/1477399001930645504
Ancient Loggie Fella,@AncientLoggie,2022-01-01T23:20:04.000Z,"Ancient Loggie Fella
@AncientLoggie
·
2022年1月2日","Today I start the last full year of working. What started part time in 1976 turned into a full time gig in January 1981. 

Let’s do this thing…starting Tuesday. Cause I took Monday off.",,4,,46,[],https://twitter.com/AncientLoggie/status/1477419383735599106
Tom Orsborn,@tom_orsborn,2022-01-01T23:11:15.000Z,"Tom Orsborn
@tom_orsborn
·
2022年1月2日","A cancelled flight, coupled with snow in the Great Lakes Region, prevented me from getting to Detroit. Since we already ruled out going to Toronto due to COVID protocols, I’m encamping in Boston. So, it’s Zoom and phone access the next couple of days.",,2,2,36,[],https://twitter.com/tom_orsborn/status/1477417164365778950
Angela McArdle,@angela4LNCChair,2022-01-01T22:47:17.000Z,"Angela McArdle
@angela4LNCChair
·
2022年1月2日",Been off social media the past week because I've been spending holiday with family in a remote area with weak wifi. I'll be back regularly on Jan 7th.,,11,3,92,[],https://twitter.com/angela4LNCChair/status/1477411130364600322
Meg (Shaw) Lower,@MegDShaw,2022-01-01T23:36:46.000Z,"Meg (Shaw) Lower
@MegDShaw
·
2022年1月2日","Man I hope no one is playing a drinking game for the OSU/Utah game. Because like, good luck and good night.",,5,1,36,[],https://twitter.com/MegDShaw/status/1477423584536580097
Dorian Craft,@doriancraft,2022-01-01T22:36:06.000Z,"Dorian Craft
@doriancraft
·
2022年1月2日","I’ve dreamed of this moment since I was 9. Thank you so much to 
@JohnEidemiller
 and Toledo for giving me the opportunity. What a fun call alongside 
@rhttboyd
 and 
@MLowryBCSN
 - can’t think of a better way to kick off 2022. Big things are ahead ",✨,10,2,188,['https://pbs.twimg.com/media/FIDPCG3XoAA3W8H?format=jpg&name=small'],https://twitter.com/doriancraft/status/1477408316842201093
Michael Levitt,@LevittMichael,2022-01-01T23:19:48.000Z,"Michael Levitt
@LevittMichael
·
2022年1月2日","So blessed to work w/ the incredible team at 
@CanadianFSWC
. As we start this new year, I’m proud to reaffirm our commitment to combating antisemitism and hate. In the words of Simon Wiesenthal, “Freedom is not a gift from heaven, you have to fight for it every day.”",,1,4,22,"['https://pbs.twimg.com/profile_images/1543659918380732416/HiM0HzdT_normal.jpg', 'https://pbs.twimg.com/media/FIDRFhPXoAUod1M?format=jpg&name=small']",https://twitter.com/LevittMichael/status/1477419316446433286
Brandon London,@BrandonLondonTV,2022-01-01T23:41:23.000Z,"Brandon London
@BrandonLondonTV
·
2022年1月2日","Lee Parker, it’s been an honor hosting the Chelsea Mic’d Up podcast with you bro! When this covid thing settles I’m coming to London and we’re grabbing drinks in matching turtlenecks lol! Happy Bday bro 
@ChelseaFCinUSA",💙,2,2,30,"['https://pbs.twimg.com/profile_images/1604222312303190016/2OaDWlex_normal.jpg', 'https://pbs.twimg.com/media/FIDYsVWWUAEaH-U?format=jpg&name=small', 'https://pbs.twimg.com/media/FIDYsVxXwAAa_mA?format=jpg&name=small']",https://twitter.com/BrandonLondonTV/status/1477424746346205186
REAL1 (FKA Enzo Amore),@real1,2022-01-01T22:10:05.000Z,"REAL1 (FKA Enzo Amore)
@real1
·
2022年1月2日","I’ll be in Winchester VA 
SATURDAY! 
1•8•22 — 2 to 5 pm 
@SquareCircleCo1
 
SQUARED CIRCLE COLLECTIBLES 

Come get yourself a..
“How ya doin?”",,2,3,28,['https://pbs.twimg.com/ext_tw_video_thumb/1477401668174106627/pu/img/5ciIJkLzZhwX7XNy.jpg'],https://twitter.com/real1/status/1477401769869258752
City Councilor Justin Tseng,@justin4medford,2022-01-02T23:18:06.000Z,"City Councilor Justin Tseng
@justin4medford
·
2022年1月3日",Inauguration Day means new beginnings! I’m excited to work with all of my new colleagues to strengthen our community and build an even more people-centric city government,,2,7,54,"['https://pbs.twimg.com/media/FIIiPNcWYAAT7Zr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FIIiPNaXsAERxUT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FIIiPNbXEAAjvfY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FIIiPNbXMAQkiNA?format=jpg&name=360x360']",https://twitter.com/justin4medford/status/1477781277172453379
Liz Trotter,@lizlovestheland,2022-01-02T22:20:02.000Z,"Liz Trotter
@lizlovestheland
·
2022年1月3日","Popped by 
@AcademyRecords
 and scored a few. I’ll be quilting for the rest of the evening. ",🌙,1,1,15,['https://pbs.twimg.com/media/FIIU8ZFWUAA0WGx?format=jpg&name=small'],https://twitter.com/lizlovestheland/status/1477766660807446536
Ty,@tyleralexissss,2022-01-02T22:58:10.000Z,"Ty
@tyleralexissss
·
2022年1月3日",I hope some of y’all learn how to treat people better this year,♑,,11,15,[],https://twitter.com/tyleralexissss/status/1477776259119980544
Lacey Gaudet,@GaudetRacing,2022-01-02T22:55:23.000Z,"Lacey Gaudet
@GaudetRacing
·
2022年1月3日",It’s currently 63 degrees and I’ve passed three snow plows on the drive home  #MarylandWinter #2020too,🙄,5,1,52,[],https://twitter.com/GaudetRacing/status/1477775556653551616
PapaVaz,@PapaVazz,2022-01-02T23:36:13.000Z,"PapaVaz
@PapaVazz
·
2022年1月3日",0 likes and I'll fire up a stream,⚾,1,,24,['https://pbs.twimg.com/tweet_video_thumb/FIImYc0XMAIDGFg.jpg'],https://twitter.com/PapaVazz/status/1477785836427128835
HD MOVIE SOURCE,@HDMOVIESOURCE,2022-01-02T23:54:20.000Z,"HD MOVIE SOURCE
@HDMOVIESOURCE
·
2022年1月3日","I Ain’t Going Anywhere! Watching Martin Scorsese's great The Wolf of Wall Street on 4K tonight.

#TheWolfOfWallStreet #hdmoviesource #SupportPhysicalMedia",,8,3,71,['https://pbs.twimg.com/media/FIIqg_UXIAAwVCs?format=jpg&name=small'],https://twitter.com/HDMOVIESOURCE/status/1477790394163335171
Brandi K. Adams,@bkadams,2022-01-02T23:31:15.000Z,"Brandi K. Adams
@bkadams
·
2022年1月3日","I’ll take it. “of all the things which wisdom has contrived which contribute to a blessed life, none is more important, more fruitful, than friendship” Epicurus as quoted by Cicero. 2022 is about friends!",,2,1,24,"['https://pbs.twimg.com/media/FIIlP06XIAUAu_6?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1310936262585454592/cNS0WaAc_normal.jpg', 'https://pbs.twimg.com/tweet_video_thumb/FICrUh8WUAAnH9T?format=jpg&name=240x240']",https://twitter.com/bkadams/status/1477784585102671873
